iteration,runtime,r2_score,mape_score,mae_score,max_depth,min_samples_split,min_samples_leaf,n_estimators,hyperparameters
88,125.02290369000184,0.3919242617588806,6.562941919033493,0.3253645568624058,77,5,6,961,"{'bootstrap': False, 'max_depth': 77, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 6, 'n_estimators': 961}"
89,15.095751687000302,0.3904801730036537,7.9584499313030195,0.3949993561727115,7,8,6,534,"{'bootstrap': False, 'max_depth': 7, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 6, 'n_estimators': 534}"
90,14.89184443799968,0.5519326539938668,6.4072252486754255,0.31712672462799707,33,2,5,398,"{'bootstrap': True, 'max_depth': 33, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 5, 'n_estimators': 398}"
91,16.831382697000663,0.5670129747623283,6.206833444205148,0.30741633374854854,33,5,6,418,"{'bootstrap': False, 'max_depth': 33, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 6, 'n_estimators': 418}"
92,50.38045021799917,0.5525758138734389,6.131169636144892,0.3028313865392621,21,6,6,592,"{'bootstrap': True, 'max_depth': 21, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 6, 'n_estimators': 592}"
93,11.694974960999389,0.5662932824790032,6.2160239601548675,0.3073430750196053,27,10,2,263,"{'bootstrap': True, 'max_depth': 27, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 2, 'n_estimators': 263}"
94,16.93697176099886,0.5501131874112553,6.43023015225387,0.31866193083167876,57,10,9,457,"{'bootstrap': False, 'max_depth': 57, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 9, 'n_estimators': 457}"
95,74.63223022999955,0.5598825276575152,6.039579437799548,0.2981262321495032,57,9,5,844,"{'bootstrap': True, 'max_depth': 57, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 5, 'n_estimators': 844}"
96,20.834238048999396,0.5359166421693657,6.638829648588022,0.3287582765145758,17,7,6,728,"{'bootstrap': True, 'max_depth': 17, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 6, 'n_estimators': 728}"
97,13.584929888998886,0.3975041228517994,7.594879810655286,0.3752708332204132,7,10,10,205,"{'bootstrap': True, 'max_depth': 7, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 10, 'n_estimators': 205}"
98,26.53471323299891,0.5844876625777833,5.892329972494287,0.2915662043465672,45,10,2,631,"{'bootstrap': False, 'max_depth': 45, 'max_features': 'log2', 'min_samples_split': 10, 'min_samples_leaf': 2, 'n_estimators': 631}"
99,57.89660152500073,0.40004682006585857,6.6076219006218695,0.3272925658019244,61,9,10,457,"{'bootstrap': False, 'max_depth': 61, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 10, 'n_estimators': 457}"
100,18.719419206998282,0.5564956357167148,6.362598020014609,0.3151708157318257,65,3,8,534,"{'bootstrap': False, 'max_depth': 65, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 8, 'n_estimators': 534}"
